# traces ,# t > 4.5 t,max
100,249,4.221888
200,1599,8.102528
300,2772,10.35264
400,3908,13.04445
500,4969,14.51138
600,6073,16.79905
700,6833,17.81338
800,7188,19.09035
900,7918,20.63738
1000,8497,21.45828
1100,8943,22.84736
1200,9192,23.6344
1300,9878,25.18191
1400,10465,25.7889
1500,11254,26.88634
1600,11838,27.90396
1700,12133,28.31206
1800,12293,29.49266
1900,12386,30.61776
2000,12950,31.7917
2100,13557,33.09085
2200,14095,34.28987
2300,14129,35.10504
2400,14325,36.22157
2500,14850,37.38633
2600,15593,38.52573
2700,15932,39.30051
2800,16468,40.36414
2900,16886,40.68223
3000,16653,40.61639
3100,16917,40.68399
3200,17157,41.01099
3300,17217,41.08796
3400,17635,41.41262
3500,18259,42.23378
3600,18360,42.81757
3700,18832,43.62782
3800,19028,44.24448
3900,19250,44.62199
4000,19660,45.54428
4100,20011,45.7776
4200,20133,46.07718
4300,20601,46.82634
4400,20942,47.5057
4500,21008,48.08634
4600,21330,48.83679
4700,21737,49.7563
4800,21911,50.27972
4900,21966,50.87447
5000,22272,51.10247
5100,22341,51.75869
5200,22905,52.522
5300,22681,52.97726
5400,22631,52.5943
5500,22628,52.88382
5600,22819,53.04644
5700,23116,53.6877
5800,23377,54.49226
5900,23455,54.96382
6000,23654,55.4655
6100,23976,56.1011
6200,24095,56.67387
6300,24333,57.28299
6400,24654,57.85997
6500,24844,58.03809
6600,24764,58.23776
6700,25100,59.02851
6800,25046,59.31409
6900,25075,59.53557
7000,25221,60.13718
7100,25351,60.45182
7200,25432,60.27763
7300,25658,60.94781
7400,25888,61.57598
7500,26173,62.2472
7600,26456,62.6102
7700,26649,62.74245
7800,26707,62.77478
7900,26744,63.19142
8000,26744,63.71119
8100,26776,64.19724
8200,26806,64.63143
8300,26955,65.12202
8400,27129,65.72254
8500,27410,66.07907
8600,27499,66.3431
8700,27686,66.8674
8800,27831,67.31051
8900,27896,67.68816
9000,27879,67.94309
9100,28137,68.58412
9200,28261,68.89053
9300,28302,68.99348
9400,28536,69.56556
9500,28740,70.02177
9600,28871,70.37171
9700,29163,70.8092
9800,29367,70.88242
9900,29628,71.27702
10000,29787,71.58186
10100,29935,72.04472
10200,29944,72.40961
10300,29919,72.74036
10400,30101,73.305
10500,30341,73.82097
10600,30582,74.35439
10700,30694,74.69388
10800,30810,74.92596
10900,30976,75.27338
11000,30813,75.27514
11100,30847,75.46676
11200,30800,75.81377
11300,30904,76.26273
11400,31191,76.7426
11500,31265,77.3811
11600,31380,77.76096
11700,31371,78.09588
11800,31462,78.42164
11900,31428,78.71511
12000,31626,79.15916
12100,31653,79.5685
12200,31814,79.92152
12300,31914,80.49439
12400,32055,80.72269
12500,32060,80.79806
12600,32062,80.57219
12700,32191,81.10892
12800,32270,81.49222
12900,32419,81.72162
13000,32664,82.1626
13100,32721,82.3976
13200,32776,82.76621
13300,32968,83.14333
13400,32938,83.54296
13500,32960,83.8501
13600,33013,84.20351
13700,33150,84.61874
13800,33275,84.91943
13900,33435,85.32249
14000,33596,85.84533
14100,33809,86.33402
14200,33933,86.75625
14300,34075,87.27035
14400,34104,87.64419
14500,34207,87.85777
14600,34409,88.40122
14700,34636,88.80925
14800,34621,88.89896
14900,34857,89.2925
15000,34838,89.25797
15100,34914,89.47794
15200,35065,90.06835
15300,35065,90.27241
15400,35265,90.71872
15500,35417,91.00385
15600,35344,91.2397
15700,35513,91.55421
15800,35577,91.9234
15900,35760,92.28322
16000,35784,92.44961
16100,35917,92.697
16200,36001,93.02918
16300,36094,93.57201
16400,36090,93.62589
16500,36094,93.68214
16600,36146,93.79667
16700,36210,94.03054
16800,36162,94.00586
16900,36053,94.04616
17000,36168,94.08621
17100,36191,94.46772
17200,36344,94.87926
17300,36449,95.24066
17400,36533,95.73315
17500,36514,96.02799
17600,36651,96.48732
17700,36737,96.9487
17800,36879,97.33138
17900,36924,97.60873
18000,37121,97.90134
18100,37194,98.08478
18200,37229,98.36083
18300,37370,98.70371
18400,37560,98.98527
18500,37515,99.21985
18600,37538,99.4933
18700,37622,99.87888
18800,37716,99.74686
18900,37765,100.0534
19000,37824,100.3014
19100,37870,100.65
19200,37987,100.8254
19300,38018,100.7394
19400,37951,100.9618
19500,38076,101.2461
19600,38201,101.685
19700,38231,102.033
19800,38278,102.4107
19900,38285,102.5635
20000,38402,102.7507
20100,38389,102.7586
20200,38489,103.226
20300,38475,103.5356
20400,38550,103.652
20500,38503,103.7517
20600,38548,103.8632
20700,38711,104.067
20800,38780,104.4206
20900,38903,104.826
21000,38951,105.0695
21100,39100,105.25
21200,39069,105.4998
21300,39168,105.9196
21400,39190,106.2221
21500,39228,106.3253
21600,39234,106.6762
21700,39302,107.0013
21800,39362,107.2812
21900,39411,107.5405
22000,39486,107.7164
22100,39523,107.9926
22200,39611,108.3375
22300,39651,108.6797
22400,39742,108.8744
22500,39754,109.1101
22600,39710,109.2628
22700,39820,109.4626
22800,39816,109.6493
22900,39813,109.849
23000,39869,110.1151
23100,39939,110.4267
23200,40036,110.8192
23300,40060,111.0595
23400,40149,111.4208
23500,40204,111.8058
23600,40248,112.0267
23700,40324,112.0944
23800,40406,112.5081
23900,40347,112.2245
24000,40430,112.5785
24100,40502,112.7865
24200,40590,113.0431
24300,40577,113.2568
24400,40695,113.6201
24500,40815,114.0152
24600,40905,114.2418
24700,40974,114.595
24800,40969,114.7387
24900,41004,114.9389
25000,40988,114.9626
25100,41118,115.1384
25200,41166,115.3775
25300,41212,115.6947
25400,41278,115.9355
25500,41280,115.9609
25600,41311,116.293
25700,41320,116.2033
25800,41419,116.402
25900,41470,116.5647
26000,41519,116.8446
26100,41548,117.1566
26200,41584,117.2627
26300,41648,117.6913
26400,41663,117.8218
26500,41672,118.1073
26600,41776,118.4023
26700,41810,118.8095
26800,41894,119.2126
26900,41961,119.5431
27000,42042,119.8002
27100,42105,119.8716
27200,42116,120.1301
27300,42143,120.4692
27400,42215,120.7943
27500,42308,121.0757
27600,42356,121.328
27700,42401,121.677
27800,42495,121.93
27900,42539,122.1462
28000,42579,122.4701
28100,42654,122.7483
28200,42768,123.1157
28300,42798,123.1941
28400,42856,123.4072
28500,42828,123.4567
28600,42859,123.7544
28700,42965,123.9242
28800,43056,124.1742
28900,43097,124.3958
29000,43218,124.6575
29100,43176,124.7661
29200,43239,124.9188
29300,43263,124.9029
29400,43349,125.0662
29500,43414,125.2169
29600,43400,125.2429
29700,43443,125.4074
29800,43452,125.6359
29900,43534,126.0065
30000,43603,126.32
30100,43627,126.5152
30200,43598,126.533
30300,43708,126.8848
30400,43718,126.996
30500,43771,127.1414
30600,43849,127.3667
30700,43869,127.5795
30800,43923,127.7046
30900,43917,127.8273
31000,43930,128.1229
31100,43979,128.308
31200,44033,128.5657
31300,44079,128.8327
31400,44098,128.8907
31500,44153,129.1963
31600,44226,129.2839
31700,44172,129.1544
31800,44179,129.3539
31900,44194,129.5776
32000,44248,129.8218
32100,44349,129.9751
32200,44448,130.2496
32300,44521,130.4667
32400,44618,130.7386
32500,44687,131.0343
32600,44698,131.3466
32700,44763,131.5611
32800,44811,131.6834
32900,44852,131.9392
33000,44838,132.2436
33100,44830,132.3829
33200,44900,132.6698
33300,44883,132.8113
33400,44971,133.0677
33500,45067,133.4007
33600,45106,133.5599
33700,45115,133.8365
33800,45123,133.8215
33900,45203,134.1208
34000,45283,134.4233
34100,45415,134.7654
34200,45492,134.9668
34300,45591,135.1033
34400,45651,135.2913
34500,45701,135.4794
34600,45744,135.8104
34700,45776,136.067
34800,45797,136.3985
34900,45874,136.6202
35000,45924,136.9505
35100,45984,137.2605
35200,46089,137.3854
35300,46222,137.6689
35400,46213,137.8505
35500,46195,137.9628
35600,46222,138.1414
35700,46306,138.52
35800,46308,138.7765
35900,46389,138.948
36000,46473,139.1223
36100,46512,139.281
36200,46501,139.3479
36300,46574,139.6316
36400,46508,139.5932
36500,46617,139.8879
36600,46661,140.1173
36700,46715,140.2862
36800,46802,140.428
36900,46749,140.4293
37000,46777,140.6449
37100,46880,140.8674
37200,46870,140.8645
37300,46919,141.1524
37400,46971,141.357
37500,47032,141.5425
37600,47095,141.8035
37700,47166,142.1209
37800,47215,142.382
37900,47247,142.5921
38000,47294,142.8079
38100,47345,143.0494
38200,47408,143.3987
38300,47499,143.6536
38400,47477,143.8004
38500,47469,143.81
38600,47538,144.0985
38700,47536,144.2027
38800,47576,144.5127
38900,47605,144.6828
39000,47694,144.902
39100,47712,145.0263
39200,47752,145.2091
39300,47823,145.4313
39400,47793,145.5494
39500,47835,145.6624
39600,47883,145.9768
39700,47898,146.0801
39800,47802,145.9001
39900,47899,146.1773
40000,47867,146.3165
40100,47909,146.4941
40200,47898,146.4722
40300,47919,146.7596
40400,47966,147.1144
40500,48001,147.3789
40600,47980,147.5906
40700,48010,147.6875
40800,48051,147.9499
40900,48079,148.1445
41000,48141,148.2958
41100,48110,148.3256
41200,48135,148.3365
41300,48173,148.5518
41400,48213,148.8605
41500,48260,149.063
41600,48327,149.2782
41700,48373,149.5412
41800,48399,149.7292
41900,48454,149.931
42000,48453,150.1074
42100,48474,150.2579
42200,48527,150.477
42300,48579,150.7585
42400,48576,150.9263
42500,48643,151.1062
42600,48656,151.1458
42700,48703,151.1776
42800,48749,151.4095
42900,48760,151.5724
43000,48833,151.8074
43100,48883,151.9205
43200,48925,151.9787
43300,48951,152.2424
43400,48919,152.3404
43500,48911,152.3509
43600,48957,152.5825
43700,49015,152.8659
43800,49027,153.0603
43900,49042,153.2696
44000,49057,153.3062
44100,49084,153.5238
44200,49133,153.7439
44300,49121,153.8777
44400,49200,154.146
44500,49228,154.3696
44600,49286,154.6605
44700,49369,154.9402
44800,49428,155.2165
44900,49421,155.3987
45000,49471,155.5838
45100,49473,155.6516
45200,49479,155.743
45300,49549,155.9334
45400,49595,156.1282
45500,49575,156.3867
45600,49631,156.5816
45700,49619,156.739
45800,49686,156.8377
45900,49706,156.9773
46000,49765,157.1495
46100,49828,157.3463
46200,49897,157.6417
46300,49939,157.7847
46400,49974,157.9469
46500,50011,158.2045
46600,50039,158.4268
46700,50078,158.6518
46800,50129,158.8958
46900,50168,159.05
47000,50243,159.1759
47100,50257,159.4289
47200,50296,159.5439
47300,50352,159.8308
47400,50337,160.0348
47500,50362,160.2602
47600,50304,160.2986
47700,50365,160.5097
47800,50414,160.7684
47900,50465,160.9289
48000,50468,161.0217
48100,50508,161.1857
48200,50512,161.3192
48300,50565,161.5383
48400,50597,161.6646
48500,50629,161.7908
48600,50662,161.9676
48700,50687,162.0765
48800,50702,162.3396
48900,50709,162.4064
49000,50736,162.6273
49100,50736,162.8172
49200,50781,162.9388
49300,50807,162.9673
49400,50846,163.1622
49500,50870,163.4112
49600,50915,163.5654
49700,50991,163.6216
49800,51018,163.6782
49900,51072,163.8475
50000,51095,163.9062
50100,51140,163.892
50200,51071,163.9351
50300,51125,164.1278
50400,51144,164.392
50500,51188,164.4783
50600,51213,164.5375
50700,51200,164.7852
50800,51247,164.8525
50900,51294,165.0333
51000,51381,164.9612
51100,51459,165.129
51200,51534,165.2873
51300,51518,165.3457
51400,51574,165.4749
51500,51579,165.5044
51600,51647,165.7396
51700,51694,165.8783
51800,51747,166.0201
51900,51784,166.2147
52000,51877,166.44
52100,51844,166.67
52200,51890,166.8511
52300,51965,167.1533
52400,51988,167.418
52500,52004,167.6729
52600,52072,167.9268
52700,52074,168.1784
52800,52140,168.3666
52900,52127,168.5361
53000,52200,168.5765
53100,52174,168.7303
53200,52232,168.6805
53300,52306,168.7948
53400,52355,168.9569
53500,52477,169.0924
53600,52509,169.3048
53700,52560,169.5569
53800,52677,169.6959
53900,52668,169.7399
54000,52743,169.8824
54100,52718,169.9185
54200,52733,169.9993
54300,52698,170.2104
54400,52781,170.4469
