# traces ,# t > 4.5 t,max
100,0,2.751594
200,4,4.960254
300,44,6.71239
400,122,8.659565
500,235,10.20825
600,307,11.57434
700,378,12.93383
800,441,14.80368
900,518,16.31222
1000,603,17.63332
1100,649,18.6592
1200,681,20.04888
1300,738,21.16632
1400,784,22.53179
1500,828,23.97081
1600,852,24.99796
1700,910,26.04451
1800,950,27.31253
1900,993,28.42234
2000,1014,29.48357
2100,1053,30.77295
2200,1096,31.81369
2300,1137,33.02976
2400,1155,34.16704
2500,1200,35.18147
2600,1229,35.86138
2700,1267,37.08226
2800,1288,37.70155
2900,1317,38.70901
3000,1321,39.47528
3100,1352,40.51606
3200,1393,41.28498
3300,1393,42.13194
3400,1421,42.91753
3500,1437,43.78986
3600,1473,44.6334
3700,1481,45.50047
3800,1503,46.4811
3900,1523,47.05659
4000,1555,47.86814
4100,1561,48.62921
4200,1577,49.18781
4300,1599,49.90219
4400,1620,50.74434
4500,1630,51.2382
4600,1634,51.73646
4700,1668,52.6401
4800,1691,53.5279
4900,1722,54.26862
5000,1741,54.91495
5100,1779,55.6753
5200,1812,56.44868
5300,1798,56.71443
5400,1809,57.36864
5500,1830,57.851
5600,1840,58.58387
5700,1838,58.81384
5800,1834,59.38262
5900,1844,59.96199
6000,1844,60.37392
6100,1860,61.01654
6200,1857,61.32444
6300,1880,62.00991
6400,1904,62.67618
6500,1910,63.0719
6600,1915,63.85807
6700,1917,64.26346
6800,1924,62.83787
6900,1946,63.44181
7000,1972,63.93706
7100,1976,64.54459
7200,1991,65.04276
7300,2000,63.83236
7400,2002,64.34297
7500,2011,64.81232
7600,2017,65.29175
7700,2014,65.52253
7800,2005,65.92479
7900,2018,66.36776
8000,2017,66.87312
8100,2042,67.45683
8200,2040,67.70084
8300,2052,68.16113
8400,2075,68.94485
8500,2098,69.47421
8600,2117,69.84476
8700,2115,70.26884
8800,2128,70.67863
8900,2135,71.26546
9000,2139,71.68052
9100,2152,72.30578
9200,2169,72.86914
9300,2176,71.16705
9400,2176,71.53793
9500,2180,72.14854
9600,2200,72.69302
9700,2205,73.07615
9800,2231,73.67332
9900,2239,74.2333
10000,2240,74.57781
10100,2261,75.17503
10200,2261,75.53458
10300,2285,75.95877
10400,2288,76.40325
10500,2295,76.8112
10600,2332,77.30841
10700,2346,77.71989
10800,2370,78.41472
10900,2371,78.61366
11000,2389,79.08546
11100,2370,79.30335
11200,2385,79.74797
11300,2413,80.19451
11400,2413,80.51571
11500,2409,80.82897
11600,2408,81.32696
11700,2405,81.64732
11800,2406,81.94607
11900,2411,82.46625
12000,2409,82.80253
12100,2429,83.25005
12200,2426,82.78461
12300,2431,83.1515
12400,2438,83.50756
12500,2418,83.77789
12600,2429,84.08991
12700,2437,84.54095
12800,2481,83.79152
12900,2487,84.12622
13000,2506,84.43533
13100,2516,84.84673
13200,2504,85.07877
13300,2510,85.4955
13400,2503,85.77409
